Date,Symbol,Open,High,Low,Close,Volume,Market_Cap,PE_Ratio,Dividend_Yield,Volatility
2024-01-02,AAPL,185.50,187.25,184.75,186.50,45000000,2.95E+12,28.5,0.52,0.015
2024-01-03,AAPL,186.75,189.00,186.25,188.25,52000000,2.98E+12,28.8,0.51,0.018
2024-01-04,AAPL,188.00,190.50,187.50,189.75,48000000,3.01E+12,29.1,0.50,0.016
2024-01-05,AAPL,189.50,191.25,188.75,190.50,51000000,3.03E+12,29.3,0.49,0.014
2024-01-08,AAPL,190.25,192.00,189.50,191.25,49000000,3.05E+12,29.5,0.48,0.013
2024-01-09,AAPL,191.00,193.75,190.75,192.50,53000000,3.08E+12,29.7,0.47,0.017
2024-01-10,AAPL,192.25,194.50,191.50,193.25,47000000,3.10E+12,29.9,0.46,0.015
2024-01-11,AAPL,193.00,195.25,192.25,194.00,54000000,3.12E+12,30.1,0.45,0.016
2024-01-12,AAPL,194.25,196.00,193.50,195.25,50000000,3.15E+12,30.3,0.44,0.014
2024-01-16,AAPL,195.00,197.75,194.25,196.50,56000000,3.18E+12,30.5,0.43,0.018
2024-01-17,AAPL,196.25,198.50,195.50,197.25,48000000,3.20E+12,30.7,0.42,0.015
2024-01-18,AAPL,197.00,199.25,196.25,198.00,52000000,3.22E+12,30.9,0.41,0.016
2024-01-19,AAPL,198.25,200.00,197.50,199.25,49000000,3.25E+12,31.1,0.40,0.014
2024-01-22,AAPL,199.00,201.75,198.25,200.50,55000000,3.28E+12,31.3,0.39,0.017
2024-01-23,AAPL,200.25,202.50,199.50,201.25,47000000,3.30E+12,31.5,0.38,0.015
2024-01-24,AAPL,201.00,203.25,200.25,202.00,53000000,3.32E+12,31.7,0.37,0.016
2024-01-25,AAPL,202.25,204.00,201.50,203.25,50000000,3.35E+12,31.9,0.36,0.014
2024-01-26,AAPL,203.00,205.75,202.25,204.50,57000000,3.38E+12,32.1,0.35,0.018
2024-01-29,AAPL,204.25,206.50,203.50,205.25,48000000,3.40E+12,32.3,0.34,0.015
2024-01-30,AAPL,205.00,207.25,204.25,206.00,54000000,3.42E+12,32.5,0.33,0.016
2024-01-31,AAPL,206.25,208.00,205.50,207.25,51000000,3.45E+12,32.7,0.32,0.014
2024-02-01,AAPL,207.00,209.75,206.25,208.50,58000000,3.48E+12,32.9,0.31,0.019
2024-02-02,AAPL,208.25,210.50,207.50,209.25,49000000,3.50E+12,33.1,0.30,0.015
2024-02-05,AAPL,209.00,211.25,208.25,210.00,55000000,3.52E+12,33.3,0.29,0.016
2024-02-06,AAPL,210.25,212.00,209.50,211.25,52000000,3.55E+12,33.5,0.28,0.014
2024-02-07,AAPL,211.00,213.75,210.25,212.50,59000000,3.58E+12,33.7,0.27,0.018
2024-02-08,AAPL,212.25,214.50,211.50,213.25,50000000,3.60E+12,33.9,0.26,0.015
2024-02-09,AAPL,213.00,215.25,212.25,214.00,56000000,3.62E+12,34.1,0.25,0.016
2024-02-12,AAPL,214.25,216.00,213.50,215.25,53000000,3.65E+12,34.3,0.24,0.014
2024-02-13,AAPL,215.00,217.75,214.25,216.50,60000000,3.68E+12,34.5,0.23,0.019
2024-02-14,AAPL,216.25,218.50,215.50,217.25,51000000,3.70E+12,34.7,0.22,0.015
2024-02-15,AAPL,217.00,219.25,216.25,218.00,57000000,3.72E+12,34.9,0.21,0.016 
